otu_id	kingdom	phylum	class	order	family	genus	species
OTU7594	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
OTU7595	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7598	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	env.OPS 17		
OTU7599	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	env.OPS 17		
OTU7602	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales			
OTU7604	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	
OTU7605	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	
OTU7606	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7607	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	FFCH7168		
OTU7609	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	
OTU7610	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	FFCH7168		
OTU7611	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales			
OTU7613	Bacteria	Saccharibacteria					
OTU7615	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	
OTU7616	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus	
OTU7617	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7618	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales			
OTU7620	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7621	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales			
OTU7624	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae		
OTU7625	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae		
OTU7626	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales			
OTU7630	Bacteria	Proteobacteria	Betaproteobacteria				
OTU7631	Bacteria	Proteobacteria					
OTU7632	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	
OTU7633	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		
OTU7634	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7635	Bacteria						
OTU7636	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
OTU7643	Bacteria	Actinobacteria	Actinobacteria				
OTU7645	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		
OTU7648	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7649	Bacteria	Saccharibacteria					
OTU7652	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7653	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7654	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
OTU7658	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
OTU7660	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	
OTU7661	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7664	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales			
OTU7665	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
OTU7666	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Rathayibacter	
OTU7668	Bacteria						
OTU7670	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7673	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	
OTU7674	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7675	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	
OTU7676	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	
OTU7679	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7680	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	env.OPS 17	uncultured Bacteroidetes bacterium	
OTU7683	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7685	Bacteria						
OTU7687	Bacteria	Proteobacteria	Betaproteobacteria				
OTU7688	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Adhaeribacter	
OTU7689	Bacteria	Proteobacteria					
OTU7690	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7691	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7694	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
OTU7696	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales			
OTU7697	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7698	Bacteria	Proteobacteria					
OTU7700	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7705	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	PHOS-HE51		
OTU7706	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7711	Bacteria						
OTU7714	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7716	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7717	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7720	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	env.OPS 17		
OTU7723	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7724	Bacteria	Bacteroidetes	Cytophagia	Cytophagales			
OTU7728	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	
OTU7730	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae		
OTU7733	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7736	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
OTU7738	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales			
OTU7740	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
