otu_id	kingdom	phylum	class	order	family	genus	species
OTU4681	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	
OTU4683	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_podocarpi
OTU4686	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma_chrysanthemicola
OTU4688	Fungi						
OTU4690	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	
OTU4691	Fungi						
OTU4692	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
OTU4694	Fungi						
OTU4695	Fungi						
OTU4699	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae		
OTU4700	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU4701	Fungi						
OTU4702	Fungi						
OTU4703	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	
OTU4705	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	
OTU4713	Fungi						
OTU4714	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma_chrysanthemicola
OTU4715	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
OTU4721	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	
OTU4722	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	
OTU4724	Fungi	Ascomycota					
OTU4725	Fungi						
OTU4726	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_simplicissimum
OTU4728	Fungi						
OTU4729	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae		
OTU4730	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_podocarpi
OTU4732	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	
OTU4734	Fungi						
OTU4737	Fungi						
OTU4738	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella_oryzae
OTU4739	Fungi						
OTU4740	Fungi						
OTU4741	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
OTU4743	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
OTU4745	Fungi	Ascomycota					
OTU4746	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	
OTU4748	Fungi	Ascomycota					
OTU4750	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Bullera	Bullera_crocea
OTU4751	Fungi						
OTU4752	Fungi						
OTU4758	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
OTU4759	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
OTU4760	Fungi	Ascomycota					
OTU4761	Fungi						
OTU4762	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma_chrysanthemicola
OTU4764	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora	Articulospora_proliferata
OTU4766	Fungi						
OTU4770	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
OTU4771	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_victoriae
OTU4772	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
OTU4773	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella_urticicola
OTU4775	Fungi	Ascomycota					
OTU4777	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	
OTU4779	Fungi	Ascomycota					
OTU4780	Fungi						
OTU4784	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora	
OTU4785	Fungi						
OTU4786	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Lycoperdon	Lycoperdon_pyriforme
OTU4787	Fungi						
OTU4789	Fungi	Ascomycota					
OTU4790	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	Papiliotrema_fuscus
OTU4791	Fungi						
OTU4795	Fungi						
OTU4797	Fungi						
OTU4803	Fungi	Ascomycota					
OTU4804	Fungi						
OTU4806	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	
OTU4807	Fungi						
OTU4808	Fungi						
OTU4809	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	
OTU4810	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU4812	Fungi						
OTU4815	Fungi						
OTU4817	Fungi						
OTU4818	Fungi						
OTU4821	Fungi	Ascomycota					
OTU4822	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	
OTU4823	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Dichotomopilus	Dichotomopilus_subfunicola
OTU4824	Fungi						
OTU4825	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Bullera	Bullera_alba
OTU4826	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella_oryzae
